Year,Month,Day,Brisbane,GoldCoast
2015,4,28,25.2,25.6
2015,4,29,23.6,23.3
2015,4,30,18,23.1
2015,5,1,21,23.1
2015,5,2,24.9,25.7
2015,5,3,24.2,25.3
2015,5,4,27.3,25.8
2015,5,5,28.45,27.1
2015,5,6,29.6,27.4
2015,5,7,26.1,26
2015,5,8,24.4,24.2
2015,5,9,23.7,23.7
2015,5,10,25.1,24.3
2015,5,11,26,25
2015,5,12,25.9,24.7
2015,5,13,24.9,24.1
2015,5,14,20.9,21.5
2015,5,15,24.1,23.6
2015,5,16,24,23.5
2015,5,17,23,23.5
2015,5,18,22.9,23.4
2015,5,19,22.7,23.3
2015,5,20,26.8,25.3
2015,5,21,25.2,25.2
2015,5,22,19.9,20.4
2015,5,23,22.8,22.4
2015,5,24,23.6,23.3
2015,5,25,23.5,23.7
2015,5,26,23.9,23.8
2015,5,27,24.3,23.3
2015,5,28,25.1,23.4
2015,5,29,25.5,25.2
2015,5,30,27.6,24.2
2015,5,31,26.1,23.7
2015,6,1,20.5,22.1
2015,6,2,19.5,19.1
2015,6,3,19.7,20
2015,6,4,22.3,21.6
2015,6,5,21.4,21.2
2015,6,6,22.1,22.1
2015,6,7,22.8,22.7
2015,6,8,24.5,23.2
2015,6,9,24.2,24.7
2015,6,10,24.2,23.8
2015,6,11,21.8,20.7
2015,6,12,20.1,20.1
2015,6,13,21.4,20.4
2015,6,14,22.2,21.8
2015,6,15,23.2,22.7
2015,6,16,21.5,20.1
2015,6,17,21,21.2
2015,6,18,22.7,22.6
2015,6,19,21.6,21.1
2015,6,20,20.9,21.1
2015,6,21,21.1,21.2
2015,6,22,20.5,21.6
2015,6,23,20.6,21.8
2015,6,24,19.6,16.5
2015,6,25,19.6,20.5
2015,6,26,22.7,21.3
2015,6,27,22.6,21.4
2015,6,28,22.2,23.3
2015,6,29,18.4,19.5
2015,6,30,23.1,22.1
2015,7,1,23.3,22.2
2015,7,2,19.6,21
2015,7,3,20.7,20
2015,7,4,21.3,21.7
2015,7,5,22.8,22.8
2015,7,6,24.1,22.8
2015,7,7,23,21.5
2015,7,8,20.4,20
2015,7,9,19.4,20.3
2015,7,10,20.2,20.8
2015,7,11,21.2,21.6
2015,7,12,18.3,18.4
2015,7,13,18.2,17.5
2015,7,14,19.2,19.2
2015,7,15,18.2,17.9
2015,7,16,17.4,18.7
2015,7,17,16.1,15.8
2015,7,18,19.4,19.3
2015,7,19,19.3,20.9
2015,7,20,20.9,20.5
2015,7,21,21.6,20.1
2015,7,22,18.7,18.5
2015,7,23,23.1,20.1
2015,7,24,24.4,23.7
2015,7,25,24.3,24.1
2015,7,26,25.1,23.6
2015,7,27,22.9,21.6
2015,7,28,21.4,20.1
2015,7,29,21.7,21.1
2015,7,30,22.8,21.2
2015,7,31,24.1,23.5
2015,8,1,23.6,23.2
2015,8,2,25.7,23.8
2015,8,3,26.7,25.8
2015,8,4,21.8,21.3
2015,8,5,19.1,19.6
2015,8,6,21.1,18.7
2015,8,7,21.4,21.2
2015,8,8,22.1,21.1
2015,8,9,22.5,21.5
2015,8,10,23,22.7
2015,8,11,26.4,25.7
2015,8,12,28.4,23.7
2015,8,13,22.3,22.4
2015,8,14,23,20.1
2015,8,15,22.6,22.7
2015,8,16,21.7,21.2
2015,8,17,23.4,23.9
2015,8,18,24.2,22
2015,8,19,22.8,23.1
2015,8,20,22.1,22.8
2015,8,21,22.4,23.3
2015,8,22,24.5,22.9
2015,8,23,24.1,23.8
2015,8,24,25.3,23.6
2015,8,25,29.1,27.1
2015,8,26,28.5,27.4
2015,8,27,23.9,21.1
2015,8,28,24.7,21.9
2015,8,29,22.9,22.5
2015,8,30,23.2,22
2015,8,31,23.7,21.9
2015,9,1,25.1,24.4
2015,9,2,25.1,22.6
2015,9,3,25.3,24.5
2015,9,4,24.9,24.4
2015,9,5,23.6,22.9
2015,9,6,24,23.7
2015,9,7,25.5,23.8
2015,9,8,28.1,26.7
2015,9,9,25.6,22.4
2015,9,10,25,24
2015,9,11,21.6,22.5
2015,9,12,24.5,23.5
2015,9,13,25.4,24.5
2015,9,14,25.4,25.3
2015,9,15,25.6,23.9
2015,9,16,27.4,27.3
2015,9,17,19.9,19.5
2015,9,18,22.8,21
2015,9,19,24,23.1
2015,9,20,23.3,23.3
2015,9,21,24.3,23.9
2015,9,22,29.4,28.4
2015,9,23,23.5,22.8
2015,9,24,23.1,22.1
2015,9,25,23.4,23.6
2015,9,26,23.1,23.7
2015,9,27,24.1,23.1
2015,9,28,24.8,23.9
2015,9,29,25.7,25.9
2015,9,30,26.6,25.8
2015,10,1,27.7,25
2015,10,2,29.3,26
2015,10,3,27.8,26
2015,10,4,29,27.6
2015,10,5,33.8,27.1
2015,10,6,30.7,28.1
2015,10,7,28.3,27.2
2015,10,8,25.7,24.8
2015,10,9,25.1,24.1
2015,10,10,25.6,25.8
2015,10,11,25.9,25.6
2015,10,12,27.4,26.5
2015,10,13,28,27.3
2015,10,14,27.3,25.4
2015,10,15,26.9,26.5
2015,10,16,26.6,26.7
2015,10,17,27.6,26.2
2015,10,18,27.1,27.5
2015,10,19,26.5,26.4
2015,10,20,26.8,25.9
2015,10,21,27.2,27.4
2015,10,22,29.3,26.2
2015,10,23,27.3,25.2
2015,10,24,24.3,24.7
2015,10,25,25.4,25.8
2015,10,26,28.4,27.5
2015,10,27,30.7,27.6
2015,10,28,22.3,22.9
2015,10,29,23.1,22.4
2015,10,30,24.1,25.4
2015,10,31,25.2,25
2015,11,1,27,27.3
2015,11,2,29.5,28.7
2015,11,3,30.5,28.7
2015,11,4,29.8,27.6
2015,11,5,29.1,27.2
2015,11,6,29.3,26.6
2015,11,7,33.3,28
2015,11,8,25,25
2015,11,9,25.9,26.6
2015,11,10,26.6,26.2
2015,11,11,26.5,27
2015,11,12,26.4,26.7
2015,11,13,28.1,28.3
2015,11,14,26.7,25.7
2015,11,15,27.3,27
2015,11,16,27,26.3
2015,11,17,26,26.1
2015,11,18,28.2,27.6
2015,11,19,33.4,32.8
2015,11,20,30.9,29.7
2015,11,21,33.3,31.3
2015,11,22,28.4,27.7
2015,11,23,29.9,29.5
2015,11,24,30.5,28.2
2015,11,25,31,29.8
2015,11,26,31.8,30
2015,11,27,31.1,28.2
2015,11,28,30.4,28
2015,11,29,31,28.9
2015,11,30,31.8,30.4
2015,12,1,31.3,30.1
2015,12,2,27.9,27.4
2015,12,3,27.9,26.1
2015,12,4,25.6,26.2
2015,12,5,28.4,27.9
2015,12,6,29.1,28.2
2015,12,7,29.8,28.8
2015,12,8,30.7,29.3
2015,12,9,30.8,30.9
2015,12,10,32.3,31.2
2015,12,11,32.5,31.1
2015,12,12,22.4,22.7
2015,12,13,27.3,27.4
2015,12,14,29.1,27.4
2015,12,15,29.9,28.7
2015,12,16,27.3,27.4
2015,12,17,29.7,28.9
2015,12,18,28.6,29
2015,12,19,28.7,28.8
2015,12,20,30.1,29.2
2015,12,21,31.2,30.3
2015,12,22,30.5,29.6
2015,12,23,30.6,29.5
2015,12,24,28.1,28.4
2015,12,25,28.4,26.7
2015,12,26,32,29.4
2015,12,27,31.2,29
2015,12,28,29,28.1
2015,12,29,26.5,26
2015,12,30,29.8,28.3
2015,12,31,29.9,28.1
2016,1,1,30.8,28.6
2016,1,2,30.1,28.6
2016,1,3,28,27.7
2016,1,4,26.8,28.2
2016,1,5,29.65,26
2016,1,6,32.5,28.8
2016,1,7,30,28.9
2016,1,8,29.5,28.1
2016,1,9,30.3,29
2016,1,10,30.7,28.6
2016,1,11,30.4,28.9
2016,1,12,31.4,29.4
2016,1,13,30.9,29.9
2016,1,14,31.1,30.3
2016,1,15,31.9,30.6
2016,1,16,26.4,26
2016,1,17,28.3,28.3
2016,1,18,28.6,28.8
2016,1,19,29.9,27.8
2016,1,20,30.5,29.7
2016,1,21,30.7,30.5
2016,1,22,32.7,30.5
2016,1,23,30.1,27.8
2016,1,24,31.8,30.1
2016,1,25,30.8,30.2
2016,1,26,28.5,29.3
2016,1,27,29.4,29.2
2016,1,28,29.9,28.5
2016,1,29,35.7,33.6
2016,1,30,30.8,29.2
2016,1,31,34,31.8
2016,2,1,35,31.4
2016,2,2,36.2,34.1
2016,2,3,34.1,29.6
2016,2,4,27.4,26
2016,2,5,27,29
2016,2,6,29.9,28.2
2016,2,7,28.6,27.8
2016,2,8,30.9,29.9
2016,2,9,30.4,28.7
2016,2,10,30.9,29.2
2016,2,11,31,29.9
2016,2,12,30.6,29.6
2016,2,13,28.9,27.8
2016,2,14,32.5,30.5
2016,2,15,34.3,30.9
2016,2,16,36,29.9
2016,2,17,33.8,30.8
2016,2,18,32.6,30.8
2016,2,19,32.7,31.1
2016,2,20,32.3,29.6
2016,2,21,31.8,30.2
2016,2,22,31.8,29.8
2016,2,23,31.7,29
2016,2,24,32,29.5
2016,2,25,31.9,28.8
2016,2,26,32.8,28.7
2016,2,27,35.5,30.5
2016,2,28,32.9,30.8
2016,2,29,32.9,30.5
2016,3,1,30.5,27
2016,3,2,29.8,28.8
2016,3,3,30.3,29.2
2016,3,4,29.9,29.8
2016,3,5,28.6,27.9
2016,3,6,30.5,30.4
2016,3,7,30.4,29.2
2016,3,8,30.1,28.4
2016,3,9,27.2,28.3
2016,3,10,30.9,30.6
2016,3,11,28.2,30.2
2016,3,12,30.8,30.6
2016,3,13,28,28.2
2016,3,14,30,30.8
2016,3,15,31.4,15.4
2016,3,16,30.3,15.75
2016,3,17,29.3,28.7
2016,3,18,30.9,29.2
2016,3,19,33.5,30.7
2016,3,20,29.7,29.4
2016,3,21,28.9,28.8
2016,3,22,28.8,28.6
2016,3,23,29.4,28.1
2016,3,24,30.1,28.7
2016,3,25,30.4,28.5
2016,3,26,30.8,29.3
2016,3,27,25.7,26.2
2016,3,28,28.9,28.6
2016,3,29,30.7,28.9
2016,3,30,31.9,31
2016,3,31,31.9,29
2016,4,1,29.5,29.2
2016,4,2,30.4,29.2
2016,4,3,30.1,29.1
2016,4,4,30,29.5
2016,4,5,29.1,28.5
2016,4,6,29.6,29.4
2016,4,7,30.8,29.8
2016,4,8,29.8,29
2016,4,9,30.1,28.8
2016,4,10,29.7,29.7
2016,4,11,30.5,27.9
2016,4,12,27.6,25.1
2016,4,13,28.5,26.6
2016,4,14,27.3,26.2
2016,4,15,26.5,25.2
2016,4,16,27.3,26.4
2016,4,17,28.2,27.2
2016,4,18,28.3,27.1
2016,4,19,28.7,26.4
2016,4,20,30.1,27.9
2016,4,21,27.7,27.7
2016,4,22,30.4,27.1
2016,4,23,30.1,27.4
2016,4,24,28.4,26.6
2016,4,25,27.6,25.9
2016,4,26,26.9,25.8
2016,4,27,27.1,24
2016,4,28,28.3,27.1
2016,4,29,25.6,27.1
2016,4,30,29.3,26.9
2016,5,1,24.6,23.5
2016,5,2,27.4,26.6
2016,5,3,29.6,28.4
2016,5,4,28.9,26.9
2016,5,5,28,26.7
2016,5,6,28.5,26.3
2016,5,7,27.7,27
2016,5,8,27.3,27.1
2016,5,9,28.2,27.1
2016,5,10,28.4,28.4
2016,5,11,25.6,25.2
2016,5,12,26.4,26.8
2016,5,13,27,25.6
2016,5,14,26.9,26.2
2016,5,15,27.3,26
2016,5,16,28.1,25.2
2016,5,17,28,27.2
2016,5,18,27.7,26.7
2016,5,19,27.7,26.6
2016,5,20,29.2,25.6
2016,5,21,26.6,26
2016,5,22,26.5,26
2016,5,23,28.1,27.3
2016,5,24,27.4,25.3
2016,5,25,25.6,24
2016,5,26,28.2,25.5
2016,5,27,25.6,25.4
2016,5,28,23.6,22.9
2016,5,29,23.8,20.6
2016,5,30,23.7,23
2016,5,31,24.9,24
2016,6,1,22.4,22.4
2016,6,2,20.6,22
2016,6,3,21.2,22.1
2016,6,4,21.6,21.1
2016,6,5,19.5,21.3
2016,6,6,18.7,19.5
2016,6,7,22.4,21.8
2016,6,8,24,22.4
2016,6,9,28.1,26.9
2016,6,10,25.2,24.8
2016,6,11,23.7,21.6
2016,6,12,21.8,19.8
2016,6,13,20.6,21.7
2016,6,14,23,22.7
2016,6,15,21.4,21.7
2016,6,16,23.2,22.9
2016,6,17,22.9,22.8
2016,6,18,22.5,23.3
2016,6,19,22.5,22.1
2016,6,20,20.5,19.7
2016,6,21,20.6,20.5
2016,6,22,21.5,21.6
2016,6,23,19,18.9
2016,6,24,23.5,23.4
2016,6,25,18.1,18.1
2016,6,26,17.3,18.5
2016,6,27,17.4,18.8
2016,6,28,18.5,20.8
2016,6,29,21.7,21.3
2016,6,30,22.4,20.9
2016,7,1,22.6,21.8
2016,7,2,21.6,20.9
2016,7,3,22.1,21.6
2016,7,4,22.7,21.6
2016,7,5,19.4,19.2
2016,7,6,16.6,17.8
2016,7,7,20.2,22.8
2016,7,8,23.1,23
2016,7,9,23,22.2
2016,7,10,23.6,22.7
2016,7,11,21.3,22.3
2016,7,12,23.5,21.6
2016,7,13,21.1,21.5
2016,7,14,17.8,18.8
2016,7,15,18.9,17.8
2016,7,16,18.2,19
2016,7,17,23.1,21.7
2016,7,18,23.5,22
2016,7,19,24.7,24.8
2016,7,20,25.6,25.3
2016,7,21,27.1,24.9
2016,7,22,27.6,26.9
2016,7,23,29.1,28.9
2016,7,24,22.8,20.7
2016,7,25,23,22
2016,7,26,19.4,20.2
2016,7,27,20.3,19.7
2016,7,28,22.6,22.6
2016,7,29,24,23.6
2016,7,30,23.4,21.5
2016,7,31,24.5,24.1
2016,8,1,25.6,24.9
2016,8,2,23.8,23.6
2016,8,3,19.3,20.7
2016,8,4,20.8,19.4
2016,8,5,20.9,20.2
2016,8,6,22.4,21.4
2016,8,7,22.4,21.5
2016,8,8,22.8,21.3
2016,8,9,23.3,21.8
2016,8,10,24.4,24.5
2016,8,11,26.4,24.4
2016,8,12,22.7,22.3
2016,8,13,23.7,23.5
2016,8,14,23.6,23.5
2016,8,15,22.7,22.5
2016,8,16,22.9,22.7
2016,8,17,22.7,23.1
2016,8,18,21.4,22.3
2016,8,19,23.3,24
2016,8,20,25.3,24.7
2016,8,21,22.9,20.9
2016,8,22,24.5,23
2016,8,23,26.3,24.2
2016,8,24,21.8,18.1
2016,8,25,20.8,21.3
2016,8,26,21,20.4
2016,8,27,21.8,21.8
2016,8,28,23.7,22.7
2016,8,29,23.7,22.7
2016,8,30,23.3,23.3
2016,8,31,23.7,23.5
2016,9,1,26.1,26
2016,9,2,25.6,24.7
2016,9,3,23.2,23.3
2016,9,4,24.2,22.2
2016,9,5,23.3,23.4
2016,9,6,23.3,23.6
2016,9,7,23.7,24.9
2016,9,8,24.4,23.3
2016,9,9,22.2,23.3
2016,9,10,23.3,22.1
2016,9,11,24,22.9
2016,9,12,25.3,23.3
2016,9,13,26.5,24.6
2016,9,14,25.9,26.3
2016,9,15,26.7,25.9
2016,9,16,25.7,26.1
2016,9,17,25.5,24.1
2016,9,18,22.5,23.4
2016,9,19,22.3,22.7
2016,9,20,25.3,22.9
2016,9,21,21.4,20.1
2016,9,22,24.7,24.5
2016,9,23,25.2,23.7
2016,9,24,26.3,23.9
2016,9,25,28.8,27.2
2016,9,26,27.6,24.1
2016,9,27,26.6,23.8
2016,9,28,27,24.5
2016,9,29,24.1,23.8
2016,9,30,25.7,24.9
2016,10,1,27,26.5
2016,10,2,26.9,24.5
2016,10,3,26.7,25
2016,10,4,26.2,25.1
2016,10,5,28.7,25
2016,10,6,29.1,24.5
2016,10,7,29,25.2
2016,10,8,32.2,30.1
2016,10,9,25.5,24.1
2016,10,10,26.4,24.9
2016,10,11,29.2,25.2
2016,10,12,24.5,24.4
2016,10,13,26.1,25.4
2016,10,14,23.4,23.7
2016,10,15,24.1,24.4
2016,10,16,25.4,25.5
2016,10,17,28.3,27.3
2016,10,18,25.7,22.6
2016,10,19,29.4,25.6
2016,10,20,27,26.5
2016,10,21,26.8,27
2016,10,22,27.6,26.4
2016,10,23,21.6,21.9
2016,10,24,25.3,24
2016,10,25,27.5,25.5
2016,10,26,28,27.7
2016,10,27,29.2,28
2016,10,28,28.6,28
2016,10,29,28.2,27.2
2016,10,30,27.7,28.2
2016,10,31,28.3,27.2
2016,11,1,26.3,26.3
2016,11,2,28.9,26.8
2016,11,3,27.5,26.3
2016,11,4,29.3,27.6
2016,11,5,34.4,31.5
2016,11,6,33.3,26.9
2016,11,7,28.9,28.2
2016,11,8,32.5,29.4
2016,11,9,31.7,30.8
2016,11,10,32.5,28.4
2016,11,11,31.8,28.3
2016,11,12,31.6,30.2
2016,11,13,36,32.8
2016,11,14,30.1,29.35
2016,11,15,27.4,25.9
2016,11,16,28.1,26.5
2016,11,17,28.3,26.1
2016,11,18,27.3,25
2016,11,19,28.1,26.1
2016,11,20,28.6,27.6
2016,11,21,29.7,27.7
2016,11,22,28.8,28.3
2016,11,23,31.2,27.9
2016,11,24,35.1,27.7
2016,11,25,29,25.9
2016,11,26,27,26.9
2016,11,27,29.7,28.8
2016,11,28,29.9,28.1
2016,11,29,30.7,28.3
2016,11,30,31.3,27.6
2016,12,1,30.2,27.9
2016,12,2,30.4,27.3
2016,12,3,30.8,27.3
2016,12,4,30.3,28
2016,12,5,30.3,29.7
2016,12,6,33.8,32.3
2016,12,7,31.3,28.6
2016,12,8,28.4,25.7
2016,12,9,28.6,27.8
2016,12,10,27.7,27.9
2016,12,11,27.2,27.3
2016,12,12,28.1,28.4
2016,12,13,28.8,28.3
2016,12,14,29.5,28.3
2016,12,15,30.6,29.3
2016,12,16,30,29
2016,12,17,31,29.3
2016,12,18,32.3,26.4
2016,12,19,27.8,26.6
2016,12,20,29.6,29.4
2016,12,21,34.1,33.3
2016,12,22,31.5,28.8
2016,12,23,27.7,29.5
2016,12,24,29.2,29
2016,12,25,27.5,26.9
2016,12,26,29.3,28.2
2016,12,27,28.9,29.2
2016,12,28,29.8,28.9
2016,12,29,30.8,29.6
2016,12,30,32.4,30.2
2016,12,31,33.9,30.8
2017,1,1,34.7,30.9
2017,1,2,32.5,29.8
2017,1,3,26.8,26.2
2017,1,4,29.6,28.6
2017,1,5,29.4,29.9
2017,1,6,28.6,30.3
2017,1,7,28.5,28.9
2017,1,8,29.2,29.3
2017,1,9,30,29.5
2017,1,10,31.2,30.5
2017,1,11,32.3,30.9
2017,1,12,35.6,29.4
2017,1,13,33.3,30.3
2017,1,14,35,33
2017,1,15,32,27.7
2017,1,16,31.2,28.4
2017,1,17,31.9,29.4
2017,1,18,35,33.4
2017,1,19,30.9,29
2017,1,20,32.3,30.1
2017,1,21,33.6,29.2
2017,1,22,29.1,28.5
2017,1,23,29.2,29.5
2017,1,24,32.2,31.9
2017,1,25,31.4,29.9
2017,1,26,32.3,30.8
2017,1,27,29.1,29.9
2017,1,28,30.6,29.2
2017,1,29,31.8,29.4
2017,1,30,32.5,30.1
2017,1,31,32.5,31.6
2017,2,1,32.9,31.7
2017,2,2,32.9,32.1
2017,2,3,32.4,30.1
2017,2,4,32.8,30
2017,2,5,32.8,30.6
2017,2,6,33,30.5
2017,2,7,32.8,30.5
2017,2,8,32.8,31
2017,2,9,32.2,30.3
2017,2,10,33,29
2017,2,11,37,32.6
2017,2,12,37.6,33
2017,2,13,35.6,31.5
2017,2,14,30.3,29.9
2017,2,15,30.4,30.4
