IQ,AlcConsumption,Group
102.2,0.38,B
104.4,0.33,B
106.3,0.41,B
104.3,0.44,B
104.4,0.44,B
105.8,0.21,B
105.5,0.39,B
105.6,0.4,B
106.2,0.41,B
104.8,0.27,B
104.8,0.38,B
104.7,0.43,B
104.3,0.38,B
104.8,0.5,B
103.1,0.46,B
107.4,0.46,B
106.3,0.39,B
105.7,0.46,B
105.8,0.42,B
105.9,0.31,B
105.8,0.38,B
106.6,0.32,B
108.2,0.37,B
105.4,0.41,B
101.2,0.42,B
106.8,0.29,B
104.5,0.58,B
106.3,0.38,B
103.2,0.27,B
104.4,0.4,B
105,0.35,B
106,0.34,B
107.7,0.26,B
107.7,0.22,B
106.4,0.46,B
108.1,0.3,B
106.1,0.3,B
106.3,0.38,B
106.3,0.39,B
105.1,0.41,B
103.7,0.39,B
105,0.4,B
106.1,0.33,B
104.4,0.3,B
108.4,0.27,B
109.2,0.45,B
108.8,0.36,B
108.7,0.39,B
110,0.37,B
108.9,0.43,B
107.9,0.41,B
109.2,0.41,B
109,0.38,B
109.3,0.36,B
108.7,0.43,B
110.1,0.24,B
111.6,0.37,B
109.3,0.32,B
107.8,0.43,B
103.9,0.52,B
109.6,0.34,B
108.8,0.31,B
108.7,0.35,B
107.8,0.36,B
107.8,0.44,B
108,0.45,B
109,0.43,B
112.5,0.23,B
109.6,0.32,B
108.2,0.41,B
105.2,0.38,B
109.3,0.23,B
110.2,0.5,B
106.9,0.48,B
110.6,0.42,B
108.6,0.59,B
110.7,0.42,B
106.5,0.54,B
108.5,0.33,B
109.3,0.36,B
110.3,0.43,B
107.1,0.41,B
109.4,0.44,B
109.2,0.37,B
108.6,0.38,B
107.7,0.21,B
111.9,0.26,B
112.1,0.28,B
113.6,0.13,B
110.5,0.15,B
110,0.22,B
110.6,0.26,B
110,0.25,B
110.7,0.3,B
111,0.32,B
110.8,0.24,B
112.2,0.31,B
111.9,0.3,B
112.7,0.21,B
113.5,0.17,B
113.1,0.18,B
111.6,0.29,B
107.2,0.38,B
109.7,0.37,B
110.2,0.36,B
109.6,0.32,B
108.9,0.33,B
110.1,0.37,B
107,0.4,B
108.2,0.33,B
106.9,0.6,B
104.9,0.38,B
112,0.11,B
116.8,0.25,B
114,0.16,B
113.6,0.26,B
109.5,0.33,B
116.1,0.25,B
108.4,0.35,B
108.6,0.44,B
108.1,0.51,B
110.3,0.4,B
110.9,0.32,B
108,0.29,B
111.8,0.27,B
110.5,0.42,B
109.7,0.39,B
107.9,0.31,B
107.8,0.47,B
107.2,0.46,B
104.2,0.45,B
111.3,0.34,B
110.6,0.38,B
110.1,0.37,B
98.9,0.38,B
105.9,0.28,C
105.9,0.24,C
105.9,0.29,C
104.7,0.28,C
105.6,0.31,C
107.4,0.13,C
103.4,0.12,C
102.8,0.47,C
103.3,0.36,C
105.5,0.28,C
106,0.23,C
105,0.25,C
105,0.28,C
101.1,0.33,C
104.3,0.32,C
106.5,0.23,C
107.4,0.21,C
102.9,0.25,C
103.9,0.4,C
106.4,0.31,C
106.4,0.32,C
107.4,0.33,C
105.9,0.32,C
104.6,0.39,C
104.6,0.41,C
105.4,0.33,C
102.6,0.38,C
105.4,0.3,C
103.9,0.26,C
102.6,0.38,C
95.8,0.37,C
108.9,0.3,C
108.8,0.32,C
107.5,0.4,C
106.4,0.29,C
105.4,0.31,C
104.5,0.32,C
103.7,0.34,C
100.5,0.41,C
102.2,0.24,C
103,0.34,C
107.4,0.31,C
107.9,0.29,C
106.3,0.24,C
105.3,0.21,C
105.9,0.18,C
107.7,0.26,C
106.9,0.3,C
105.5,0.22,C
105.9,0.36,C
103.6,0.33,C
109.6,0.26,C
106.8,0.3,C
110.7,0.36,C
103.4,0.33,C
100.8,0.37,C
101.6,0.32,C
102.3,0.35,C
101,0.3,C
103.8,0.39,C
101.5,0.39,C
101.7,0.41,C
101.3,0.34,C
101,0.42,C
99.3,0.36,C
107.4,0.08,C
103.5,0.19,C
103.8,0.24,C
104.6,0.23,C
105.8,0.26,C
105.1,0.33,C
102.3,0.39,C
99.4,0.35,C
98.9,0.45,C
96.1,0.3,C
95.9,0.39,C
105.2,0.16,C
103.5,0.31,C
100.1,0.39,C
98.6,0.39,C
101.1,0.22,C
103.2,0.16,C
102.5,0.39,C
101.2,0.31,C
101.3,0.36,C
102.5,0.4,C
102,0.27,C
101.6,0.38,C
101.7,0.34,C
101.2,0.23,C
103,0.33,C
102.1,0.31,C
100.3,0.34,C
100.3,0.38,C
98.7,0.29,C
99.7,0.3,C
103.2,0.3,C
105.6,0.2,C
107.2,0.15,C
104,0.28,C
102,0.24,C
103.1,0.14,C
101.3,0.18,C
101,0.31,C
100.4,0.38,C
98.4,0.3,C
97.3,0.28,C
97,0.4,C
97.2,0.37,C
95.9,0.28,C
96.7,0.3,C
104.8,0.31,C
98,0.33,C
96.9,0.35,C
97.3,0.29,C
94.9,0.22,C
91.8,0.31,C
102.6,0.37,C
99,0.24,C
99.8,0.36,C
99.2,0.3,C
97.9,0.29,C
95.1,0.41,C
98.6,0.29,C
97.9,0.13,C
102.7,0.28,C
98.8,0.24,C
97.7,0.34,C
96.8,0.3,C
98.8,0.33,C
99.2,0.31,C
97.7,0.18,C
98.9,0.31,C
96.2,0.22,C
95.9,0.27,C
96,0.32,C
96.9,0.16,C
95.8,0.15,C
103.5,0.3,C
103.7,0.24,C
98.5,0.24,C
97.8,0.34,C
97.5,0.24,C
96.2,0.41,C
95.7,0.4,C
96.4,0.37,C
96.7,0.2,C
97.4,0.39,C
94.3,0.31,C
96,0.36,C
94.5,0.14,C
95.5,0.36,C
100.9,0.12,C
100.8,0.32,C
96.3,0.33,C
95.1,0.28,C
94.5,0.27,C
94.1,0.33,C
92.1,0.17,C
91.3,0.37,C
94.4,0.31,C
101.1,0.3,C
99,0.23,C
97,0.33,C
97.6,0.31,C
95.1,0.23,C
94.2,0.3,C
93.3,0.25,C
95.4,0.26,C
98.4,0.25,C
98.2,0.34,C
98,0.31,C
94.6,0.13,C
90.2,0.32,C
93.5,0.24,C
93.2,0.31,C
92.3,0.45,C
91.3,0.33,C
86.5,0.3,C
89.4,0.42,C
89.5,0.31,C
91.1,0.33,C
89.2,0.28,C
89.9,0.34,C
94.2,0.37,C
92.9,0.38,C
92,0.4,C
92.5,0.31,C
95.4,0.24,C
97.1,0.26,C
96.2,0.35,C
94.3,0.37,C
92.7,0.29,C
92.6,0.44,C
96.1,0.27,C
95.9,0.28,C
90.7,0.41,C
96.1,0.43,C
95.1,0.26,C
95.1,0.25,C
